id,name,manufacturer,documentType,language,department
ks237-290922,KS237 290922,,SDS,Malay,Adhesives & Sealants
kth-spirit-methanol,KTH SPIRIT (methanol),,SDS,English,Laboratory & QC
kth-300-degree-c-aluminium,KTH-300-degree-C-Aluminium,,SDS,English,Unassigned
kth-sds-gp-457-thinner-2023,KTH-SDS-GP-457-THINNER-2023,,SDS,English,Paint & Coating
kth-sds-gp-thinner-457-malay-2023,KTH-SDS-GP-THINNER-457-MALAY-2023,,SDS,Malay,Paint & Coating
lacquer-thinner,Lacquer Thinner,GPI Automotive (NZ) Ltd,SDS,English,Paint & Coating
lacquer-thinner-wm-barr,Lacquer Thinner WM BARR,,SDS,English,Paint & Coating
laser-cut-555,LASER CUT 555,,SDS,English,Unassigned
laser-cut-555-en,LASER CUT 555,,SDS,English,Unassigned
leak-detection-spray,Leak Detection Spray,,SDS,English,Cleaning & Solvents
liquefied-petroleum-gas-malaysia,LIQUEFIED PETROLEUM GAS MALAYSIA,Petron Malaysia Refining and Marketing Bhd,SDS,English,Welding & Industrial Gas
liquefied-petroleum-gas-malaysia-en,LIQUEFIED PETROLEUM GAS MALAYSIA,Petron Subsidiaries in Malaysia,SDS,English,Welding & Industrial Gas
loctite-262,Loctite 262,,SDS,English,Adhesives & Sealants
loctite-565-low-strength-thread-sealant-known-as-565-pst-pipe,LOCTITE 565 LOW STRENGTH THREAD SEALANT known as 565 PST PIPE,,SDS,English,Adhesives & Sealants
loctite-603,Loctite 603,,SDS,Malay,Adhesives & Sealants
loctite-r-603-retaining-compound,Loctite(R) 603 Retaining Compound,,SDS,English,Adhesives & Sealants
lr-10050-cod-64-solvent-based-marbo,LR 10050 COD 64 Solvent Based (MARBO),,SDS,English,Cleaning & Solvents
lr-10080,LR 10080,MRA Chemicals Sdn Bdn,SDS,English,Unassigned
maxxthor-100-water-based-termiticide-and-insecticide,MAXXTHOR 100 Water-based Termiticide and Insecticide,,SDS,English,Pest Control & Sanitation
methylated-spirit,Methylated Spirit,,SDS,English,Laboratory & QC
molsiv-adsorbents-13x-apg-4x8,Molsiv Adsorbents 13X APG 4x8,UOP LLC,SDS,English,Laboratory & QC
molsiv-adsorbents-13x-apg-4x8-en,Molsiv Adsorbents 13X APG 4x8,UOP LLC,SDS,English,Laboratory & QC
moly-ep-2,Moly EP 2,,SDS,English,Maintenance & Lubricants
molygrease-ep2,Molygrease EP2,Caltex Australia Petroleum Pty Ltd,SDS,English,Maintenance & Lubricants
molykote-111-compound,MOLYKOTE 111 Compound,,SDS,English,Maintenance & Lubricants
molykote-br2-plus,Molykote BR2 Plus,,SDS,English,Maintenance & Lubricants
molykote-r-111-compound,MOLYKOTE(R) 111 COMPOUND,Dow Corning Silicones Malaysia Sdn Bhd,SDS,English,Maintenance & Lubricants
molykote-r-111-compound-ms,MOLYKOTE(R) 111 COMPOUND,,SDS,Malay,Maintenance & Lubricants
nitric-acid-klh-2016,Nitric Acid KLH 2016,,SDS,English,Surface Treatment & Plating
nitrogen-compressed,Nitrogen Compressed,,SDS,Malay,Welding & Industrial Gas
nitrogen-compressed-ms,"Nitrogen, Compressed",,SDS,Malay,Welding & Industrial Gas
nitrogen-compressed-high-purity,"Nitrogen, compressed (High Purity)",,SDS,English,Welding & Industrial Gas
nitrogen-compressed-high-purity-en,"Nitrogen, compressed (High Purity)",,SDS,English,Welding & Industrial Gas
nitrogen-compressed-gas,"Nitrogen, Compressed gas",,SDS,English,Welding & Industrial Gas
nitrogen-gas-termampat,"Nitrogen, Gas termampat",,SDS,Malay,Welding & Industrial Gas
nitrogen-refrigerated-liquid,"Nitrogen, Refrigerated Liquid",,SDS,Malay,Welding & Industrial Gas
nitrogen-refrigerated-liquid-industrial,"Nitrogen, Refrigerated Liquid (Industrial)",,SDS,English,Welding & Industrial Gas
oksigen-gas-termampat,"Oksigen, gas termampat",,SDS,Malay,Welding & Industrial Gas
oxide-film-inhibator-2020,Oxide film inhibator 2020,,SDS,English,Surface Treatment & Plating
oxygen-compressed-ms-rev-1-1,Oxygen Compressed MS Rev 1.1,,SDS,Malay,Welding & Industrial Gas
oxygen-compressed,"Oxygen, compressed",,SDS,Malay,Welding & Industrial Gas
oxygen-compressed-medical,"Oxygen, Compressed (Medical)",,SDS,English,Welding & Industrial Gas
oxygen-compressed-medical-en,"Oxygen, Compressed (Medical)",,SDS,English,Welding & Industrial Gas
par-thinner-1145,PAR Thinner 1145,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
pennzoil-sae-20w-40-motor-oil,Pennzoil SAE 20W-40 Motor Oil,,SDS,English,Maintenance & Lubricants
pfisterer-mv-specialist,Pfisterer MV Specialist,,SDS,English,Unassigned
phenolphthalein-indicatior,Phenolphthalein Indicatior,,SDS,English,Laboratory & QC
precision-tm-general-purpose-moly-ep2,PRECISION TM GENERAL PURPOSE MOLY EP2,,SDS,English,Paint & Coating
precision-tm-general-purpose-moly-ep2-en,PRECISION TM GENERAL PURPOSE MOLY EP2,,SDS,English,Paint & Coating
premium-hydraulic-oil,Premium Hydraulic Oil,,SDS,English,Maintenance & Lubricants
premium-hydraulic-oil-en,Premium Hydraulic Oil,,SDS,English,Maintenance & Lubricants
premium-hydraulic-oil-en-2,Premium Hydraulic Oil,,SDS,English,Maintenance & Lubricants
propane,Propane,,SDS,English,Welding & Industrial Gas
pu-dewa-beige-cw-1l,PU Dewa Beige CW 1L,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
pu-grey-bs4800-10a03,PU Grey BS4800 10A03,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
pu-hardener,PU hardener,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
pu-munsel-beige-cw-1l,PU Munsel Beige CW 1L,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
pu-ral-7035-grey-xche000480,PU Ral 7035 Grey XCHE000480,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
pu-ral-7044-grey,PU Ral 7044 Grey,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
pu-ral-9005-jet-black,PU Ral 9005 Jet Black,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
pu-tamco-grey-cw-1l,PU Tamco Grey CW 1L,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
pu-witch-grey,PU Witch Grey,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
robotik-grease,Robotik Grease,,SDS,English,Maintenance & Lubricants
robotik-grease-en,Robotik Grease,,SDS,English,Maintenance & Lubricants
rubbing-compound,RUBBING COMPOUND,,SDS,English,Cleaning & Solvents
sf-6-gas,SF 6 Gas,,SDS,English,Welding & Industrial Gas
shell-alvania-ep-grease-r000-r00-r0-1-2,"SHELL ALVANIA EP GREASE R000,R00,R0,1,2",,SDS,English,Maintenance & Lubricants
shell-alvania-grease-epd,Shell Alvania Grease EPD,Viva Energy Australia Pty Ltd,SDS,English,Maintenance & Lubricants
silkscreen-ink-2015,Silkscreen Ink 2015,Rupert Gibbon & Spider,SDS,English,Paint & Coating
sodium-hyrdroxide-0-1n-solution,Sodium hyrdroxide 0.1N solution,,SDS,English,Laboratory & QC
spe1490,SPE1490,,SDS,English,Adhesives & Sealants
specshield-53-ind-j-size-11m3,"SPECSHIELD 53 IND J SIZE, 11M3",,SDS,English,Welding & Industrial Gas
spheerol-epl-2,Spheerol EPL 2,,SDS,English,Maintenance & Lubricants
spheerol-epl-2-grease-castrol,Spheerol EPL 2 Grease (Castrol),,SDS,English,Maintenance & Lubricants
spi-ks238,SPI KS238,Hai Kuang Packing Industries Sdn Bhd,SDS,English,Adhesives & Sealants
spu-6-22,SPU 6-22,UNASCO (M) Sdn. Bhd.,SDS,English,Surface Treatment & Plating
spu-6-93r,SPU 6-93R,UNASCO (M) Sdn. Bhd.,SDS,English,Surface Treatment & Plating
spu-8-88,SPU 8-88,UNASCO (M) Sdn. Bhd.,SDS,English,Surface Treatment & Plating
spu-9-31,SPU 9-31,UNASCO (M) Sdn. Bhd.,SDS,English,Surface Treatment & Plating
sulfur-hexafluorida,Sulfur Hexafluorida,,SDS,Malay,Welding & Industrial Gas
sulfur-hexafluoride,Sulfur Hexafluoride,,SDS,English,Welding & Industrial Gas
sulfuric-acid-0-1n,Sulfuric Acid 0.1N,,SDS,English,Laboratory & QC
sulphur-hexafluoride-en,Sulphur hexafluoride,,SDS,English,Welding & Industrial Gas
sulphur-hexafluoride,Sulphur hexafluoride,,SDS,Malay,Welding & Industrial Gas
super-99-ns-cleaner-wax-530ml,SUPER 99 NS CLEANER & WAX 530ML,,SDS,English,Cleaning & Solvents
tarn-x-silver-polish,Tarn-X Silver polish,"Jelmar, LLC",SDS,English,Cleaning & Solvents
tarn-x-retail-sds-tx14mar2022,Tarn-X-Retail-SDS-TX14Mar2022,"Jelmar, LLC",SDS,English,Cleaning & Solvents
taseto,TASETO,,SDS,English,Adhesives & Sealants
tg-gloss-white,TG GLOSS WHITE,,SDS,English,Paint & Coating
thinner-no-5,Thinner No.5,Kansai Coatings Malaysia Sdn Bhd,SDS,Malay,Paint & Coating
thinner-no-5-ms,Thinner No.5,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
